	ORF	Metabolite
0	YBR161W	inositol-P-ceramide C (C26)
0	YBR161W	mannosylinositol phosphorylceramide D (C26)
0	YBR161W	inositol-P-ceramide D (C26)
0	YBR161W	mannosylinositol phosphorylceramide B (C26)
0	YBR161W	inositol-P-ceramide B (C26)
0	YBR161W	mannosylinositol phosphorylceramide A (C26)
0	YBR161W	inositol-P-ceramide A (C26)
0	YBR161W	mannosylinositol phosphorylceramide D (C24)
0	YBR161W	inositol-P-ceramide D (C24)
0	YBR161W	mannosylinositol phosphorylceramide C (C24)
0	YBR161W	inositol-P-ceramide C (C24)
0	YBR166C	NADPH
0	YBR166C	3-(4-hydroxyphenyl)pyruvate
0	YBR166C	carbon dioxide
0	YBR166C	prephenate
0	YBR166C	NADP(+)
0	YBR176W	2-dehydropantoate
0	YBR176W	THF
0	YBR176W	3-methyl-2-oxobutanoate
0	YBR176W	5,10-methylenetetrahydrofolate
0	YBR176W	H2O
0	YBR177C	coenzyme A
0	YBR177C	ethyl decanoate
0	YBR177C	ethanol
0	YBR177C	decanoyl-CoA
0	YBR177C	ethyl octanoate
0	YBR177C	octanoyl-CoA
0	YBR177C	ethyl hexanoate
0	YBR177C	hexanoyl-CoA
0	YBR177C	ethyl propionate
0	YBR177C	propionyl-CoA
0	YBR177C	ethyl butanoate
0	YBR177C	butanoyl-CoA
0	YBR180W	N,N'-diformyldityrosine
0	YBR183W	ceramide-2 (C24)
0	YBR183W	H2O
0	YBR183W	phytosphingosine
0	YBR183W	lignoceric acid
0	YBR192W	CMP
0	YBR192W	H+
0	YBR192W	CTP
0	YBR192W	UTP
0	YBR192W	UMP
0	YBR192W	FMN
0	YBR196C	D-fructose 6-phosphate
0	YBR196C	D-glucose 6-phosphate
0	YBR199W	GDP
0	YBR199W	alpha-D-mannosyl-beta-D-mannosyldiacetylchitobiosyldiphosphodolichol
0	YBR199W	GDP-alpha-D-mannose
0	YBR199W	H+
0	YBR199W	beta-D-mannosyldiacetylchitobiosyldiphosphodolichol
0	YBR204C	H+
0	YBR204C	diglyceride (1-18:1, 2-16:1)
0	YBR204C	palmitate
0	YBR204C	triglyceride (1-18:1, 2-16:1, 3-16:0)
0	YBR204C	H2O
0	YBR204C	diglyceride (1-18:1, 2-18:1)
0	YBR204C	oleate
0	YBR204C	triglyceride (1-18:1, 2-18:1, 3-18:1)
0	YBR204C	diglyceride (1-16:1, 2-16:1)
0	YBR204C	triglyceride (1-16:1, 2-16:1, 3-18:1)
0	YBR204C	stearate
0	YBR204C	diglyceride (1-18:0, 2-18:1)
0	YBR204C	triglyceride (1-18:0, 2-18:1, 3-18:0)
0	YBR204C	triglyceride (1-18:0, 2-18:1, 3-18:1)
0	YBR204C	diglyceride (1-16:0, 2-18:1)
0	YBR204C	triglyceride (1-16:0, 2-18:1, 3-18:0)
0	YBR204C	diglyceride (1-18:0, 2-16:1)
0	YBR204C	triglyceride (1-18:0, 2-16:1, 3-18:1)
0	YBR204C	triglyceride (1-16:1, 2-16:1, 3-16:0)
0	YBR204C	palmitoleate
0	YBR204C	triglyceride (1-16:0, 2-18:1, 3-16:1)
0	YBR204C	triglyceride (1-18:1, 2-18:1, 3-18:0)
0	YBR204C	triglyceride (1-16:1, 2-16:1, 3-16:1)
0	YBR204C	diglyceride (1-16:1, 2-18:1)
0	YBR204C	triglyceride (1-16:1, 2-18:1, 3-16:0)
