	ORF1	ORF2
0	YIL009W	YMR246W
0	YIL010W	YLR043C
0	YIL013C	YIL013C
0	YIL013C	YOR011W
0	YIL020C	YIL020C
0	YIL023C	YIL023C
0	YIL043C	YIL043C
0	YIL043C	YML125C
0	YIL048W	YIL048W
0	YIL048W	YMR162C
0	YIL053W	YER062C
0	YIL053W	YIL053W
0	YIL066C	YGR180C
0	YIL066C	YJL026W
0	YIL066C	YER070W
0	YIL074C	YER081W
0	YIL078W	YIL078W
0	YIL083C	YIL083C
0	YIL094C	YIL094C
0	YIL099W	YIL099W
0	YIL107C	YOL136C
0	YIL111W	Q0045
0	YIL116W	YIL116W
0	YIL124W	YIL124W
0	YIL125W	YIL125W
0	YIL125W	YDR019C
0	YIL125W	YFR049W
0	YIL134W	YIL134W
0	YIL145C	YIL145C
0	YIL155C	YIL155C
0	YIL160C	YIL160C
0	YIL162W	YIL162W
0	YIL166C	YIL166C
0	YIL172C	YGR287C
0	YIR027C	YIR027C
0	YIR028W	YIR028W
0	YIR029W	YIR029W
0	YIR031C	YIR031C
0	YIR032C	YIR032C
0	YIR034C	YIR034C
0	YIR036C	YIR036C
0	YIR037W	YKL026C
0	YIR038C	YIR038C
0	YKL001C	YKL001C
0	YKL004W	YDR367W
0	YKL004W	YKL004W
0	YKL008C	YKL008C
0	YKL008C	YHL003C
0	YKL008C	YMR298W
0	YKL016C	YPL271W
0	YKL019W	YDL090C
0	YKL024C	YKL024C
0	YKL026C	YKL026C
0	YKL029C	YKL029C
0	YKL035W	YKL035W
0	YKL055C	YKL055C
0	YKL060C	YKL060C
0	YKL067W	YKL067W
0	YKL069W	YKL069W
0	YKL080W	YOR270C
0	YKL080W	YPL234C
0	YKL085W	YKL085W
0	YKL087C	YKL087C
0	YKL088W	YKR072C
0	YKL094W	YKL094W
0	YKL103C	YKL103C
0	YKL104C	YKL104C
0	YKL106W	YKL106W
0	YKL120W	YKL120W
0	YKL127W	YKL127W
0	YKL127W	YMR105C
0	YKL132C	YOR241W
0	YKL140W	YKL140W
0	YKL140W	YLL012W
0	YKL141W	YDR178W
0	YKL146W	YKL146W
0	YKL146W	YNL101W
0	YKL148C	YDR178W
0	YKL150W	YIL043C
0	YKL152C	YKL152C
0	YKL152C	YOR283W
0	YKL165C	YKL165C
0	YKL174C	YKL174C
0	YKL181W	YKL181W
0	YKL182W	YPL231W
0	YKL184W	YKL184W
0	YKL188C	YKL188C
0	YKL188C	YPL147W
0	YKL192C	YKL192C
0	YKL192C	YER061C
0	YKL192C	YOR221C
0	YKL194C	YKL194C
0	YKL211C	YKL211C
0	YKL211C	YER090W
0	YKL212W	YKL212W
0	YKL212W	YDR062W
0	YKL215C	YKL215C
0	YKL216W	YKL216W
0	YKL217W	YKL217W
0	YKL217W	YNL065W
0	YKL218C	YKL218C
0	YKL220C	YNR060W
0	YKR009C	YKR009C
0	YKR031C	YKR031C
0	YKR039W	YCL025C
0	YKR039W	YKR039W
0	YKR039W	YOL020W
0	YKR039W	YDR508C
0	YKR039W	YBR069C
0	YKR039W	YDR046C
0	YKR039W	YPL265W
0	YKR039W	YHL016C
0	YKR043C	YKR043C
0	YKR052C	YJL133W
0	YKR053C	YKR053C
0	YKR058W	YFR015C
0	YKR061W	YOR099W
0	YKR066C	YEL039C
0	YKR067W	YKR067W
0	YKR067W	YBL011W
0	YKR069W	YKR069W
0	YKR072C	YKR072C
0	YKR076W	YKR076W
0	YKR076W	YMR251W
0	YKR080W	YKR080W
0	YKR089C	YOR081C
0	YKR089C	YKR089C
0	YKR089C	YBR204C
0	YKR089C	YMR313C
0	YKR093W	YKR093W
0	YKR093W	YJR152W
0	YKR097W	YKR097W
0	YFL061W	YNL335W
0	YFL060C	YNL334C
0	YFL060C	YFL060C
0	YFL059W	YFL059W
0	YFL058W	YFL058W
0	YFL055W	YCL025C
0	YFL055W	YPL265W
0	YFL054C	YFL054C
0	YFL053W	YFL053W
0	YFL045C	YFL045C
0	YFL030W	YFL030W
0	YFL022C	YLR060W
0	YFL018C	YAL044C
0	YFL018C	YFL018C
0	YFL018C	YMR189W
0	YFL018C	YDR019C
0	YFL018C	YIL125W
0	YFL018C	YFR049W
0	YFL017C	YFL017C
0	YFL011W	YJL219W
0	YFL011W	YNL318C
0	YFL011W	YHR096C
0	YFL011W	YNR072W
0	YFL011W	YDL245C
0	YFL001W	YNL292W
0	YFR015C	YFR015C
0	YFR019W	YFR019W
0	YFR019W	YFR021W
0	YFR019W	YLR386W
0	YFR019W	YNL325C
0	YFR021W	YNL325C
0	YFR021W	YLR386W
0	YFR021W	YFR019W
0	YFR021W	YFR021W
0	YFR025C	YFR025C
0	YFR030W	YFR030W
0	YFR033C	YEL024W
0	YFR044C	YFR044C
0	YFR047C	YFR047C
0	YFR049W	YIL125W
0	YFR049W	YFR049W
0	YFR053C	YFR053C
0	YFR053C	YGL253W
0	YFR053C	YLR446W
0	YFR055W	YFR055W
0	YHR039C-A	YOR270C
0	YHR039C-A	YPL234C
0	YEL017C-A	YPL036W
0	YDL004W	YPL271W
0	YDL015C	YDL015C
0	YDL022W	YDL022W
0	YDL024C	YDL024C
0	YDL040C	YDL040C
0	YDL042C	YOR025W
0	YDL045C	YDL045C
0	YDL052C	YKR089C
0	YDL052C	YOR175C
0	YDL052C	YOR081C
0	YDL052C	YDL052C
0	YDL055C	YDL055C
